File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD11A2_061_LST_Day_1km_doy2023361000000_aid0001,LST_Day_1km,aid0001,2023-12-27,56088.0,292.48,303.08,"(292.48,303.08)",296.9185551,1.4463381,2.091894,297.68,300.28,296.8,293.34,295.94
MOD11A2_061_LST_Day_1km_doy2024001000000_aid0001,LST_Day_1km,aid0001,2024-01-01,56088.0,294.18,304.88,"(294.18,304.88)",298.4008348,1.5278367,2.3342851,299.14,301.8,298.24,294.7,297.36
MOD11A2_061_LST_Day_1km_doy2024009000000_aid0001,LST_Day_1km,aid0001,2024-01-09,56088.0,291.0,303.0,"(291.0,303.0)",296.5423905,1.7047901,2.9063093,297.58,301.06,296.28,291.88,295.26
MOD11A2_061_LST_Day_1km_doy2024017000000_aid0001,LST_Day_1km,aid0001,2024-01-17,56088.0,292.64,303.88,"(292.64,303.88)",297.202541,1.5992831,2.5577065,298.16,301.24,297.06,293.02,296.1
MOD11A2_061_LST_Day_1km_doy2024025000000_aid0001,LST_Day_1km,aid0001,2024-01-25,56088.0,288.48,302.42,"(288.48,302.42)",294.8399251,1.5003394,2.2510182,295.7,298.58,294.76,290.98,293.78
MOD11A2_061_LST_Day_1km_doy2024033000000_aid0001,LST_Day_1km,aid0001,2024-02-02,56088.0,291.32,303.5,"(291.32,303.5)",296.8429721,1.4505979,2.1042342,297.6,300.18,296.66,293.3,295.88
MOD11A2_061_LST_Day_1km_doy2024041000000_aid0001,LST_Day_1km,aid0001,2024-02-10,56088.0,294.06,304.82,"(294.06,304.82)",298.2060216,1.218807,1.4854906,298.8,300.92,298.04,295.26,297.38
MOD11A2_061_LST_Day_1km_doy2024049000000_aid0001,LST_Day_1km,aid0001,2024-02-18,56088.0,291.66,309.4,"(291.66,309.4)",300.7769751,2.3082599,5.3280636,302.32,307.08,300.82,294.38,299.14
MOD11A2_061_LST_Day_1km_doy2024057000000_aid0001,LST_Day_1km,aid0001,2024-02-26,56088.0,300.6,312.06,"(300.6,312.06)",303.7715469,1.6358016,2.6758469,304.54,307.36,303.42,300.6,302.66
MOD11A2_061_LST_Day_1km_doy2024065000000_aid0001,LST_Day_1km,aid0001,2024-03-05,56088.0,300.36,309.7,"(300.36,309.7)",303.9600742,1.2720622,1.6181422,304.64,306.98,303.74,300.76,303.08
MOD11A2_061_LST_Day_1km_doy2024073000000_aid0001,LST_Day_1km,aid0001,2024-03-13,56088.0,297.44,313.3,"(297.44,313.3)",304.5169594,2.1825393,4.763478,305.92,310.36,304.44,298.54,302.96
MOD11A2_061_LST_Day_1km_doy2024081000000_aid0001,LST_Day_1km,aid0001,2024-03-21,56088.0,303.22,315.66,"(303.22,315.66)",307.5401055,1.8539487,3.4371257,308.38,311.58,307.26,303.22,306.24
MOD11A2_061_LST_Day_1km_doy2024089000000_aid0001,LST_Day_1km,aid0001,2024-03-29,56088.0,305.46,319.54,"(305.46,319.54)",311.8703894,1.7605424,3.0995095,312.8,316.16,311.8,307.2,310.56
MOD11A2_061_LST_Day_1km_doy2024097000000_aid0001,LST_Day_1km,aid0001,2024-04-06,56088.0,304.62,317.84,"(304.62,317.84)",310.3258808,1.8957725,3.5939534,311.46,315.08,310.2,305.42,309.04
MOD11A2_061_LST_Day_1km_doy2024105000000_aid0001,LST_Day_1km,aid0001,2024-04-14,56088.0,307.16,319.14,"(307.16,319.14)",311.9146883,1.5329676,2.3499898,312.66,315.38,311.8,308.12,310.84
MOD11A2_061_LST_Day_1km_doy2024113000000_aid0001,LST_Day_1km,aid0001,2024-04-22,56088.0,306.6,320.8,"(306.6,320.8)",312.5432485,1.833999,3.3635525,313.58,317.06,312.32,307.78,311.26
MOD11A2_061_LST_Day_1km_doy2024121000000_aid0001,LST_Day_1km,aid0001,2024-04-30,56088.0,308.52,320.96,"(308.52,320.96)",313.7071488,1.7005217,2.8917742,314.66,317.9,313.6,309.36,312.5
MOD11A2_061_LST_Day_1km_doy2024129000000_aid0001,LST_Day_1km,aid0001,2024-05-08,56088.0,309.04,322.14,"(309.04,322.14)",314.6705053,1.914283,3.6644793,315.88,319.74,314.66,309.46,313.3
MOD11A2_061_LST_Day_1km_doy2024137000000_aid0001,LST_Day_1km,aid0001,2024-05-16,56088.0,313.26,323.9,"(313.26,323.9)",317.6307228,1.73882,3.0234949,318.8,322.52,317.42,313.26,316.32
MOD11A2_061_LST_Day_1km_doy2024145000000_aid0001,LST_Day_1km,aid0001,2024-05-24,56088.0,311.1,321.22,"(311.1,321.22)",315.2838486,1.3776267,1.8978552,316.06,318.54,315.2,311.92,314.4
MOD11A2_061_LST_Day_1km_doy2024153000000_aid0001,LST_Day_1km,aid0001,2024-06-01,56088.0,312.36,324.08,"(312.36,324.08)",316.3860434,1.4242509,2.0284907,317.06,319.42,316.26,313.14,315.48
MOD11A2_061_LST_Day_1km_doy2024161000000_aid0001,LST_Day_1km,aid0001,2024-06-09,56088.0,315.18,326.9,"(315.18,326.9)",320.3503687,1.5921006,2.5347844,321.14,324.08,320.14,316.24,319.18
MOD11A2_061_LST_Day_1km_doy2024169000000_aid0001,LST_Day_1km,aid0001,2024-06-17,56088.0,315.66,327.8,"(315.66,327.8)",321.1689456,1.6435424,2.7012316,322.18,325.66,320.94,316.38,319.86
MOD11A2_061_LST_Day_1km_doy2024177000000_aid0001,LST_Day_1km,aid0001,2024-06-25,56088.0,314.3,325.24,"(314.3,325.24)",319.7403723,1.6056722,2.5781832,320.66,323.86,319.54,315.32,318.52
MOD11A2_061_LST_Day_1km_doy2024185000000_aid0001,LST_Day_1km,aid0001,2024-07-03,56088.0,315.38,327.0,"(315.38,327.0)",320.2603006,1.7245455,2.9740571,321.14,324.34,320.02,315.98,319.0
MOD11A2_061_LST_Day_1km_doy2024193000000_aid0001,LST_Day_1km,aid0001,2024-07-11,56088.0,314.56,327.44,"(314.56,327.44)",320.7718375,1.8474975,3.413247,321.84,325.26,320.78,316.14,319.56
MOD11A2_061_LST_Day_1km_doy2024201000000_aid0001,LST_Day_1km,aid0001,2024-07-19,56088.0,315.98,328.6,"(315.98,328.6)",320.7882128,1.7914655,3.2093485,321.74,324.92,320.6,316.46,319.62
MOD11A2_061_LST_Day_1km_doy2024209000000_aid0001,LST_Day_1km,aid0001,2024-07-27,56088.0,315.24,326.64,"(315.24,326.64)",320.1003701,1.6143081,2.6059906,321.2,324.8,319.98,315.24,318.8
MOD11A2_061_LST_Day_1km_doy2024217000000_aid0001,LST_Day_1km,aid0001,2024-08-04,56088.0,310.92,327.14,"(310.92,327.14)",317.8664028,2.5343916,6.4231409,319.64,325.16,317.6,310.92,315.96
MOD11A2_061_LST_Day_1km_doy2024225000000_aid0001,LST_Day_1km,aid0001,2024-08-12,56088.0,310.2,325.34,"(310.2,325.34)",316.6376241,2.1321997,4.5462754,317.66,321.32,316.26,311.56,315.22
MOD11A2_061_LST_Day_1km_doy2024233000000_aid0001,LST_Day_1km,aid0001,2024-08-20,56088.0,313.54,324.08,"(313.54,324.08)",317.6851152,1.7426502,3.0368298,318.72,322.22,317.44,313.54,316.38
MOD11A2_061_LST_Day_1km_doy2024241000000_aid0001,LST_Day_1km,aid0001,2024-08-28,56088.0,309.82,324.84,"(309.82,324.84)",316.9496659,2.1491179,4.6187079,318.38,322.84,316.92,310.94,315.4
MOD11A2_061_LST_Day_1km_doy2024249000000_aid0001,LST_Day_1km,aid0001,2024-09-05,56088.0,313.26,324.78,"(313.26,324.78)",318.834207,1.4784356,2.1857717,319.76,322.78,318.72,314.72,317.74
MOD11A2_061_LST_Day_1km_doy2024257000000_aid0001,LST_Day_1km,aid0001,2024-09-13,56088.0,310.68,322.52,"(310.68,322.52)",316.5013982,1.5635701,2.4447515,317.46,320.66,316.48,312.12,315.32
MOD11A2_061_LST_Day_1km_doy2024265000000_aid0001,LST_Day_1km,aid0001,2024-09-21,56088.0,311.58,322.86,"(311.58,322.86)",316.7517366,1.4685479,2.1566328,317.64,320.54,316.68,312.8,315.7
MOD11A2_061_LST_Day_1km_doy2024273000000_aid0001,LST_Day_1km,aid0001,2024-09-29,56088.0,309.48,321.74,"(309.48,321.74)",314.1096655,1.6103769,2.5933138,314.96,318.04,314.0,309.82,312.9
MOD11A2_061_LST_Day_1km_doy2024281000000_aid0001,LST_Day_1km,aid0001,2024-10-07,56088.0,309.34,321.2,"(309.34,321.2)",314.5917276,1.5105946,2.2818961,315.4,318.3,314.46,310.64,313.46
MOD11A2_061_LST_Day_1km_doy2024289000000_aid0001,LST_Day_1km,aid0001,2024-10-15,56088.0,306.34,317.88,"(306.34,317.88)",311.2021816,1.8660984,3.4823234,312.6,316.98,311.1,306.34,309.68
MOD11A2_061_LST_Day_1km_doy2024297000000_aid0001,LST_Day_1km,aid0001,2024-10-23,56088.0,299.34,311.76,"(299.34,311.76)",304.7071045,1.6339999,2.6699556,305.6,308.5,304.6,300.76,303.66
MOD11A2_061_LST_Day_1km_doy2024305000000_aid0001,LST_Day_1km,aid0001,2024-10-31,56088.0,298.54,310.42,"(298.54,310.42)",303.7078052,1.4437273,2.0843485,304.4,306.88,303.54,300.3,302.74
MOD11A2_061_LST_Day_1km_doy2024313000000_aid0001,LST_Day_1km,aid0001,2024-11-08,56088.0,298.02,309.42,"(298.02,309.42)",302.9642647,1.4448983,2.0877311,303.76,306.46,302.8,299.26,301.96
MOD11A2_061_LST_Day_1km_doy2024321000000_aid0001,LST_Day_1km,aid0001,2024-11-16,56088.0,296.1,306.32,"(296.1,306.32)",300.4112915,1.5625807,2.4416585,301.46,304.82,300.22,296.1,299.22
MOD11A2_061_LST_Day_1km_doy2024329000000_aid0001,LST_Day_1km,aid0001,2024-11-24,56088.0,291.24,303.42,"(291.24,303.42)",296.6592209,1.3591657,1.8473315,297.4,299.76,296.58,293.46,295.82
MOD11A2_061_LST_Day_1km_doy2024337000000_aid0001,LST_Day_1km,aid0001,2024-12-02,56088.0,291.6,301.26,"(291.6,301.26)",295.9556041,1.336629,1.786577,296.7,299.12,295.84,292.66,295.08
MOD11A2_061_LST_Day_1km_doy2024345000000_aid0001,LST_Day_1km,aid0001,2024-12-10,56088.0,288.6,301.82,"(288.6,301.82)",295.005476,2.0170272,4.0683987,296.36,300.46,295.16,289.52,293.62
MOD11A2_061_LST_Day_1km_doy2024353000000_aid0001,LST_Day_1km,aid0001,2024-12-18,56088.0,289.26,300.56,"(289.26,300.56)",294.3720635,1.4175305,2.0093927,295.2,297.84,294.34,290.8,293.44
MOD11A2_061_LST_Day_1km_doy2024361000000_aid0001,LST_Day_1km,aid0001,2024-12-26,56088.0,284.72,297.84,"(284.72,297.84)",290.9938019,1.6007384,2.5623634,291.94,294.96,290.8,286.9,289.92
